#OTUID	taxonomy	USEARCH	SINTAX	UTAX
OTU2103	US|1.0000|BOLD:ACG1779_NA;k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera
OTU2104	GS|100.0|BOLD:AAF6281_JF434433;k:Animalia,p:Arthropoda,c:Insecta,o:Trichoptera,f:Glossosomatidae,g:Protoptila,s:Protoptila maculata	k:Animalia,p:Arthropoda,c:Insecta,o:Trichoptera,f:Glossosomatidae,g:Protoptila,s:Protoptila maculata	k:Animalia,p:Arthropoda,c:Insecta,o:Trichoptera,f:Glossosomatidae,g:Protoptila,s:Protoptila maculata	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera
OTU2105	SS|0.9700|BOLD:ACA8623_KR792762;k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Ichneumonidae	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Ichneumonidae	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera,f:Ichneumonidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2106	US|1.0000|None;k:Animalia,p:Chordata,c:Aves,o:Passeriformes	No hit	k:Animalia	k:Animalia,p:Chordata,c:Aves,o:Passeriformes
OTU2107	US|1.0000|BOLD:AAN4488_KP845857;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Thysanoptera,f:Phlaeothripidae,g:Haplothrips,s:Haplothrips tenuipennis	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2108	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	No hit	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2109	US|1.0000|BOLD:AAN4488_KP845857;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Thysanoptera,f:Phlaeothripidae,g:Haplothrips,s:Haplothrips tenuipennis	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2110	US|1.0000|BOLD:ACY0024_NA;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera	k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2111	US|1.0000|None;k:Animalia,p:Chordata,c:Amphibia,o:Anura	No hit	k:Animalia	k:Animalia,p:Chordata,c:Amphibia,o:Anura
OTU2112	GS|99.0|BOLD:ADF3809_MF878609;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Dolichopodidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Dolichopodidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Dolichopodidae	k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2113	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera	No hit	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera
OTU2114	US|1.0000|None;k:Animalia,p:Chordata,c:Actinopterygii,o:Tetraodontiformes	No hit	k:Animalia,p:Chordata	k:Animalia,p:Chordata,c:Actinopterygii,o:Tetraodontiformes
OTU2115	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera	No hit	k:Animalia,p:Arthropoda	k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera
OTU2116	US|1.0000|None;k:Animalia,p:Arthropoda,c:Hexanauplia,o:Harpacticoida	No hit	k:Animalia,p:Arthropoda	k:Animalia,p:Arthropoda,c:Hexanauplia,o:Harpacticoida
OTU2117	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera	No hit	k:Animalia	k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera
OTU2118	US|1.0000|BOLD:AAA6709_KM552598;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera	k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera,f:Sphingidae,g:Ceratomia,s:Ceratomia undulosa	k:Animalia,p:Arthropoda,c:Insecta	k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera
OTU2119	US|1.0000|None;k:Animalia,p:Chordata,c:Reptilia,o:Squamata	No hit	k:Animalia	k:Animalia,p:Chordata,c:Reptilia,o:Squamata
OTU2120	US|1.0000|None;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera	No hit	k:Animalia	k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera
