"","ad_Individual_Band","Year","Species","Location","Site","Nest","site_box_year","n_sampleID","n_percent_aquatic_occ","n_percent_aquatic_ra","n_num_fam","n_X","n_Individual_Band","n_Adult_or_Nestling","n_Sex","n_Capture_Date","n_Capture_Number","n_Age","n_Mass","n_Bill.Head","n_Flat_Wing","n_Current_Brood_Size","n_Nestling_Fate","n_Notes","n_Nest_Experiment","n_Nest_Treatment","n_Day6_Brood_Mass","n_Brood_Size_Day6","n_Nest_Fate","n_avg_day6_mass","n_exp_treat","n_TotalReads","n_brood_size_sampling_time","ad_X","ad_Adult_or_Nestling","ad_Sex","ad_Capture_Date","ad_Capture_Number","ad_Age","ad_Mass","ad_Bill.Head","ad_Flat_Wing","ad_Current_Brood_Size","ad_Nestling_Fate","ad_sampleID","ad_Notes","ad_Nest_Experiment","ad_Nest_Treatment","ad_Day6_Brood_Mass","ad_Brood_Size_Day6","ad_Nest_Fate","ad_avg_day6_mass","ad_exp_treat","ad_percent_aquatic_ra","ad_percent_aquatic_occ","ad_num_fam"
"11",156181153,"2019","TRES","Ithaca","Unit_2","57","Unit_2_57_2019","P19N416",0.333333333333333,0.989965334792921,18,734,281128760,"Nestling","Unknown","21-Jun-19",NA,"12",16,24,41,5,"Died","","Color_Stress","Pred_Con",43,5,"Died",8.6,"Color_Stress_Pred_Con",21924,5,398,"Adult","F","15-Jun-19","3","SY",17,26.8,111,NA,"","P19N263","","Color_Stress","Pred_Con",43,5,"Died",8.6,"Color_Stress_Pred_Con",0.881049562682216,0.545454545454545,11
"12",235120680,"2019","TRES","Ithaca","Unit_4","93","Unit_4_93_2019","L19N015b",0.6,0.919930511686671,5,964,NA,"Nestling",NA,"15-Jun-19",NA,"6",NA,NA,NA,NA,NA,NA,"Light","Light",55.3,4,"Fledged",13.825,"Light_Light",6332,4,399,"Adult","F","15-Jun-19","3","ASY",19.5,NA,116,NA,"","P19N267","Female third capture life tag gone, bare patch of skin plus mass made reattachment impossble. Attached pit tag to leg","Light","Light",55.3,4,"Fledged",13.825,"Light_Light",0.00409371603025187,0.454545454545455,11
"13",235120680,"2019","TRES","Ithaca","Unit_4","93","Unit_4_93_2019","P19N397",0.1875,0.732656514382403,16,655,278172466,"Nestling","Unknown","20-Jun-19",NA,"12",24,26.2,52,4,"Fledged","","Light","Light",55.3,4,"Fledged",13.825,"Light_Light",591,4,399,"Adult","F","15-Jun-19","3","ASY",19.5,NA,116,NA,"","P19N267","Female third capture life tag gone, bare patch of skin plus mass made reattachment impossble. Attached pit tag to leg","Light","Light",55.3,4,"Fledged",13.825,"Light_Light",0.00409371603025187,0.454545454545455,11
"14",235120680,"2019","TRES","Ithaca","Unit_4","93","Unit_4_93_2019","L19N015c",0.642857142857143,0.960211124644742,14,965,NA,"Nestling",NA,"15-Jun-19",NA,"6",NA,NA,NA,NA,NA,NA,"Light","Light",55.3,4,"Fledged",13.825,"Light_Light",4926,4,399,"Adult","F","15-Jun-19","3","ASY",19.5,NA,116,NA,"","P19N267","Female third capture life tag gone, bare patch of skin plus mass made reattachment impossble. Attached pit tag to leg","Light","Light",55.3,4,"Fledged",13.825,"Light_Light",0.00409371603025187,0.454545454545455,11
"15",235120680,"2019","TRES","Ithaca","Unit_4","93","Unit_4_93_2019","P19N398",0.3125,0.361286681715576,16,656,278172467,"Nestling","Unknown","20-Jun-19",NA,"12",24,25,50.5,4,"Fledged","","Light","Light",55.3,4,"Fledged",13.825,"Light_Light",17720,4,399,"Adult","F","15-Jun-19","3","ASY",19.5,NA,116,NA,"","P19N267","Female third capture life tag gone, bare patch of skin plus mass made reattachment impossble. Attached pit tag to leg","Light","Light",55.3,4,"Fledged",13.825,"Light_Light",0.00409371603025187,0.454545454545455,11
"16",235120680,"2019","TRES","Ithaca","Unit_4","93","Unit_4_93_2019","L19N015a",0.666666666666667,0.88572806171649,9,963,NA,"Nestling",NA,"15-Jun-19",NA,"6",NA,NA,NA,NA,NA,NA,"Light","Light",55.3,4,"Fledged",13.825,"Light_Light",2074,4,399,"Adult","F","15-Jun-19","3","ASY",19.5,NA,116,NA,"","P19N267","Female third capture life tag gone, bare patch of skin plus mass made reattachment impossble. Attached pit tag to leg","Light","Light",55.3,4,"Fledged",13.825,"Light_Light",0.00409371603025187,0.454545454545455,11
"17",235120680,"2019","TRES","Ithaca","Unit_4","93","Unit_4_93_2019","P19N399",0.375,0.301760777170613,16,657,278172468,"Nestling","Unknown","20-Jun-19",NA,"12",24,25.7,51,4,"Fledged","","Light","Light",55.3,4,"Fledged",13.825,"Light_Light",1647,4,399,"Adult","F","15-Jun-19","3","ASY",19.5,NA,116,NA,"","P19N267","Female third capture life tag gone, bare patch of skin plus mass made reattachment impossble. Attached pit tag to leg","Light","Light",55.3,4,"Fledged",13.825,"Light_Light",0.00409371603025187,0.454545454545455,11
"18",263114113,"2019","TRES","Ithaca","Unit_4","94","Unit_4_94_2019","L19N005d",1,1,4,928,NA,"Nestling",NA,"10-Jun-19",NA,"6",NA,NA,NA,NA,NA,NA,"Light","Light_Control",64.85,5,"Fledged",12.97,"Light_Light_Control",198,5,232,"Adult","F","10-Jun-19","3","ASY",21,NA,118,NA,"","","","Light","Light_Control",64.85,5,"Fledged",12.97,"Light_Light_Control",NA,NA,NA
"19",263114113,"2019","TRES","Ithaca","Unit_4","94","Unit_4_94_2019","P19N295",0.454545454545455,0.475504322766571,11,475,278172315,"Nestling","Unknown","16-Jun-19",NA,"12",22,26.5,55,5,"Fledged","","Light","Light_Control",64.85,5,"Fledged",12.97,"Light_Light_Control",1041,5,232,"Adult","F","10-Jun-19","3","ASY",21,NA,118,NA,"","","","Light","Light_Control",64.85,5,"Fledged",12.97,"Light_Light_Control",NA,NA,NA
"20",263114113,"2019","TRES","Ithaca","Unit_4","94","Unit_4_94_2019","P19N293",0.333333333333333,0.923545331529093,9,473,278172313,"Nestling","Unknown","16-Jun-19",NA,"12",24.5,25.4,48,5,"Fledged","","Light","Light_Control",64.85,5,"Fledged",12.97,"Light_Light_Control",4434,5,232,"Adult","F","10-Jun-19","3","ASY",21,NA,118,NA,"","","","Light","Light_Control",64.85,5,"Fledged",12.97,"Light_Light_Control",NA,NA,NA
"21",263114113,"2019","TRES","Ithaca","Unit_4","94","Unit_4_94_2019","P19N296",0.363636363636364,0.618983957219251,22,476,278172316,"Nestling","Unknown","16-Jun-19",NA,"12",18.5,25.2,48,5,"Fledged","","Light","Light_Control",64.85,5,"Fledged",12.97,"Light_Light_Control",2244,5,232,"Adult","F","10-Jun-19","3","ASY",21,NA,118,NA,"","","","Light","Light_Control",64.85,5,"Fledged",12.97,"Light_Light_Control",NA,NA,NA
"22",263114113,"2019","TRES","Ithaca","Unit_4","94","Unit_4_94_2019","P19N297",0.357142857142857,0.707838479809976,14,477,278172317,"Nestling","Unknown","16-Jun-19",NA,"12",19.5,25.3,44,5,"Fledged","","Light","Light_Control",64.85,5,"Fledged",12.97,"Light_Light_Control",421,5,232,"Adult","F","10-Jun-19","3","ASY",21,NA,118,NA,"","","","Light","Light_Control",64.85,5,"Fledged",12.97,"Light_Light_Control",NA,NA,NA
"23",263114113,"2019","TRES","Ithaca","Unit_4","94","Unit_4_94_2019","P19N294",0.363636363636364,0.980624873199432,11,474,278172314,"Nestling","Unknown","16-Jun-19",NA,"12",21.5,25,50,5,"Fledged","","Light","Light_Control",64.85,5,"Fledged",12.97,"Light_Light_Control",9858,5,232,"Adult","F","10-Jun-19","3","ASY",21,NA,118,NA,"","","","Light","Light_Control",64.85,5,"Fledged",12.97,"Light_Light_Control",NA,NA,NA
"24",272106655,"2019","TRES","Ithaca","Turkey_Hill","3","Turkey_Hill_3_2019","L19N006a",0.444444444444444,0.999571244819208,9,929,NA,"Nestling",NA,"11-Jun-19",NA,"6",NA,NA,NA,NA,NA,NA,"Light","Light",65.25,5,"Fledged",13.05,"Light_Light",13994,5,256,"Adult","F","11-Jun-19","3","ASY",18.25,NA,123,NA,"","","","Light","Light",65.25,5,"Fledged",13.05,"Light_Light",NA,NA,NA
"25",272106655,"2019","TRES","Ithaca","Turkey_Hill","3","Turkey_Hill_3_2019","L19N006b",0.5,0.43956704750451,8,930,NA,"Nestling",NA,"11-Jun-19",NA,"6",NA,NA,NA,NA,NA,NA,"Light","Light",65.25,5,"Fledged",13.05,"Light_Light",1663,5,256,"Adult","F","11-Jun-19","3","ASY",18.25,NA,123,NA,"","","","Light","Light",65.25,5,"Fledged",13.05,"Light_Light",NA,NA,NA
"26",272106655,"2019","TRES","Ithaca","Turkey_Hill","3","Turkey_Hill_3_2019","P19N303",0.333333333333333,0.0817325452530477,15,486,278172431,"Nestling","Unknown","16-Jun-19",NA,"12",19.5,25.6,48.5,5,"Fledged","","Light","Light",65.25,5,"Fledged",13.05,"Light_Light",21656,5,256,"Adult","F","11-Jun-19","3","ASY",18.25,NA,123,NA,"","","","Light","Light",65.25,5,"Fledged",13.05,"Light_Light",NA,NA,NA
"27",272106655,"2019","TRES","Ithaca","Turkey_Hill","3","Turkey_Hill_3_2019","P19N302",0.5,0.223796175793373,16,485,278172430,"Nestling","Unknown","16-Jun-19",NA,"12",16.5,24.1,43.5,5,"Fledged","","Light","Light",65.25,5,"Fledged",13.05,"Light_Light",19978,5,256,"Adult","F","11-Jun-19","3","ASY",18.25,NA,123,NA,"","","","Light","Light",65.25,5,"Fledged",13.05,"Light_Light",NA,NA,NA
"28",272106697,"2019","TRES","Ithaca","Turkey_Hill","11","Turkey_Hill_11_2019","P19N279",0.368421052631579,0.212977099236641,19,416,278172308,"Nestling","Unknown","15-Jun-19",NA,"12",19,26.9,58,5,"Fledged","","Light","Light_Control",74.27,5,"Fledged",14.854,"Light_Light_Control",1310,5,211,"Adult","F","09-Jun-19","3","ASY",20.75,NA,117,NA,"","P19N167","","Light","Light_Control",74.27,5,"Fledged",14.854,"Light_Light_Control",NA,NA,NA
"29",272106697,"2019","TRES","Ithaca","Turkey_Hill","11","Turkey_Hill_11_2019","P19N278",0.428571428571429,0.981813589290225,14,415,278172307,"Nestling","Unknown","15-Jun-19",NA,"12",23,26.4,59,5,"Fledged","","Light","Light_Control",74.27,5,"Fledged",14.854,"Light_Light_Control",7918,5,211,"Adult","F","09-Jun-19","3","ASY",20.75,NA,117,NA,"","P19N167","","Light","Light_Control",74.27,5,"Fledged",14.854,"Light_Light_Control",NA,NA,NA
"30",272106697,"2019","TRES","Ithaca","Turkey_Hill","11","Turkey_Hill_11_2019","P19N281",0.416666666666667,0.00788158400615148,12,418,278172310,"Nestling","Unknown","15-Jun-19",NA,"12",22,26.1,57,5,"Died","","Light","Light_Control",74.27,5,"Fledged",14.854,"Light_Light_Control",10404,5,211,"Adult","F","09-Jun-19","3","ASY",20.75,NA,117,NA,"","P19N167","","Light","Light_Control",74.27,5,"Fledged",14.854,"Light_Light_Control",NA,NA,NA
"31",272106697,"2019","TRES","Ithaca","Turkey_Hill","11","Turkey_Hill_11_2019","P19N280",0.4375,0.642490842490843,16,417,278172309,"Nestling","Unknown","15-Jun-19",NA,"12",20.75,24.6,56,5,"Fledged","","Light","Light_Control",74.27,5,"Fledged",14.854,"Light_Light_Control",5460,5,211,"Adult","F","09-Jun-19","3","ASY",20.75,NA,117,NA,"","P19N167","","Light","Light_Control",74.27,5,"Fledged",14.854,"Light_Light_Control",NA,NA,NA
"32",272106728,"2019","TRES","Ithaca","Unit_2","54","Unit_2_54_2019","P19N440",0.444444444444444,0.587044534412956,18,757,281128442,"Nestling","Unknown","22-Jun-19",NA,"12",13,21,NA,6,"Fledged","","Color_Stress","Pred_Con",60,6,"Fledged",10,"Color_Stress_Pred_Con",247,6,520,"Adult","F","17-Jun-19","3","SY",18,28.3,116,NA,"","P19N311","","Color_Stress","Pred_Con",60,6,"Fledged",10,"Color_Stress_Pred_Con",0.661646586345382,0.5,12
"33",272106728,"2019","TRES","Ithaca","Unit_2","54","Unit_2_54_2019","P19N443",0.388888888888889,0.397664543524416,18,760,281128445,"Nestling","Unknown","22-Jun-19",NA,"12",20.75,25,53,6,"Fledged","","Color_Stress","Pred_Con",60,6,"Fledged",10,"Color_Stress_Pred_Con",4710,6,520,"Adult","F","17-Jun-19","3","SY",18,28.3,116,NA,"","P19N311","","Color_Stress","Pred_Con",60,6,"Fledged",10,"Color_Stress_Pred_Con",0.661646586345382,0.5,12
"34",272106728,"2019","TRES","Ithaca","Unit_2","54","Unit_2_54_2019","P19N442",0.416666666666667,0.828947368421053,12,759,281128444,"Nestling","Unknown","22-Jun-19",NA,"12",18,24.2,51,6,"Fledged","","Color_Stress","Pred_Con",60,6,"Fledged",10,"Color_Stress_Pred_Con",304,6,520,"Adult","F","17-Jun-19","3","SY",18,28.3,116,NA,"","P19N311","","Color_Stress","Pred_Con",60,6,"Fledged",10,"Color_Stress_Pred_Con",0.661646586345382,0.5,12
"35",272106822,"2019","TRES","Ithaca","Unit_2","68","Unit_2_68_2019","P19N270",0.454545454545455,0.108890057864282,11,405,278171884,"Nestling","Unknown","15-Jun-19",NA,"15",16.5,NA,NA,6,"Fledged","Microb not fully inserted","Color_Stress","Cont_Dul",71,6,"Fledged",11.8333333333333,"Color_Stress_Cont_Dul",1901,6,165,"Adult","F","06-Jun-19","3","ASY",19,29.2,117.5,NA,"","P19N128","","Color_Stress","Cont_Dul",71,6,"Fledged",11.8333333333333,"Color_Stress_Cont_Dul",NA,NA,NA
"36",272106822,"2019","TRES","Ithaca","Unit_2","68","Unit_2_68_2019","P19N222",0.454545454545455,0.791208791208791,11,290,278171886,"Nestling","Unknown","12-Jun-19",NA,"12",23.5,26.4,58,6,"Fledged","","Color_Stress","Cont_Dul",71,6,"Fledged",11.8333333333333,"Color_Stress_Cont_Dul",364,6,165,"Adult","F","06-Jun-19","3","ASY",19,29.2,117.5,NA,"","P19N128","","Color_Stress","Cont_Dul",71,6,"Fledged",11.8333333333333,"Color_Stress_Cont_Dul",NA,NA,NA
"37",272106822,"2019","TRES","Ithaca","Unit_2","68","Unit_2_68_2019","P19N220",0.375,0.210776545166403,16,285,278171881,"Nestling","Unknown","12-Jun-19",NA,"12",19,24.3,39,6,"Fledged","","Color_Stress","Cont_Dul",71,6,"Fledged",11.8333333333333,"Color_Stress_Cont_Dul",1893,6,165,"Adult","F","06-Jun-19","3","ASY",19,29.2,117.5,NA,"","P19N128","","Color_Stress","Cont_Dul",71,6,"Fledged",11.8333333333333,"Color_Stress_Cont_Dul",NA,NA,NA
"38",272106913,"2019","TRES","Ithaca","Unit_2","120","Unit_2_120_2019","P19N282",0.5,0.0621477895071037,18,461,278172268,"Nestling","Unknown","16-Jun-19",NA,"15",17,NA,NA,4,"Fledged","","Color_Stress","Cont_Con",71,7,"Fledged",10.1428571428571,"Color_Stress_Cont_Con",12599,4,178,"Adult","F","07-Jun-19","3","ASY",18.5,29,122.5,NA,"","P19N138","","Color_Stress","Cont_Con",71,7,"Fledged",10.1428571428571,"Color_Stress_Cont_Con",0.997605507333134,0.727272727272727,11
"39",272106913,"2019","TRES","Ithaca","Unit_2","120","Unit_2_120_2019","P19N242",0.363636363636364,0.814159292035398,11,340,278172270,"Nestling","Unknown","13-Jun-19",NA,"12",16.5,24.5,50,7,"Fledged","","Color_Stress","Cont_Con",71,7,"Fledged",10.1428571428571,"Color_Stress_Cont_Con",226,7,178,"Adult","F","07-Jun-19","3","ASY",18.5,29,122.5,NA,"","P19N138","","Color_Stress","Cont_Con",71,7,"Fledged",10.1428571428571,"Color_Stress_Cont_Con",0.997605507333134,0.727272727272727,11
"40",272106913,"2019","TRES","Ithaca","Unit_2","120","Unit_2_120_2019","P19N243",0.454545454545455,0.993687532877433,11,341,278172271,"Nestling","Unknown","13-Jun-19",NA,"12",14.5,24.3,44,7,"Died","","Color_Stress","Cont_Con",71,7,"Fledged",10.1428571428571,"Color_Stress_Cont_Con",9505,7,178,"Adult","F","07-Jun-19","3","ASY",18.5,29,122.5,NA,"","P19N138","","Color_Stress","Cont_Con",71,7,"Fledged",10.1428571428571,"Color_Stress_Cont_Con",0.997605507333134,0.727272727272727,11
"41",272107217,"2019","TRES","Ithaca","Unit_2","116","Unit_2_116_2019","P19N260",0.857142857142857,0.99989274989275,7,375,278172278,"Nestling","Unknown","14-Jun-19",NA,"12",15.5,24.5,50,5,"Fledged","","Color_Stress","Cont_Con",58,5,"Fledged",11.6,"Color_Stress_Cont_Con",9324,5,199,"Adult","F","08-Jun-19","3","ASY",20.75,29.2,117,NA,"","P19N148","","Color_Stress","Cont_Con",58,5,"Fledged",11.6,"Color_Stress_Cont_Con",NA,NA,NA
"42",272107217,"2019","TRES","Ithaca","Unit_2","116","Unit_2_116_2019","P19N327",0.666666666666667,0.772797527047913,15,534,278172280,"Nestling","Unknown","17-Jun-19",NA,"15",16,NA,NA,5,"Fledged","","Color_Stress","Cont_Con",58,5,"Fledged",11.6,"Color_Stress_Cont_Con",6470,5,199,"Adult","F","08-Jun-19","3","ASY",20.75,29.2,117,NA,"","P19N148","","Color_Stress","Cont_Con",58,5,"Fledged",11.6,"Color_Stress_Cont_Con",NA,NA,NA
"43",272107217,"2019","TRES","Ithaca","Unit_2","116","Unit_2_116_2019","P19N326",0.5,0.997235387045814,10,533,278172279,"Nestling","Unknown","17-Jun-19",NA,"15",17,NA,NA,5,"Fledged","Microb not fully inserted","Color_Stress","Cont_Con",58,5,"Fledged",11.6,"Color_Stress_Cont_Con",2532,5,199,"Adult","F","08-Jun-19","3","ASY",20.75,29.2,117,NA,"","P19N148","","Color_Stress","Cont_Con",58,5,"Fledged",11.6,"Color_Stress_Cont_Con",NA,NA,NA
"44",272107217,"2019","TRES","Ithaca","Unit_2","116","Unit_2_116_2019","P19N261",0.4,0.00391900718484651,10,378,278172281,"Nestling","Unknown","14-Jun-19",NA,"12",19.25,25.1,51.5,5,"Fledged","","Color_Stress","Cont_Con",58,5,"Fledged",11.6,"Color_Stress_Cont_Con",1531,5,199,"Adult","F","08-Jun-19","3","ASY",20.75,29.2,117,NA,"","P19N148","","Color_Stress","Cont_Con",58,5,"Fledged",11.6,"Color_Stress_Cont_Con",NA,NA,NA
"45",272107290,"2019","TRES","Ithaca","Turkey_Hill","97","Turkey_Hill_97_2019","L19N017a",0.7,0.971751412429379,10,968,NA,"Nestling",NA,"17-Jun-19",NA,"6",NA,NA,NA,NA,NA,NA,"Light","Light_Control",45,5,"Fledged",9,"Light_Light_Control",354,5,522,"Adult","F","17-Jun-19","3","ASY",18.5,NA,117,NA,"","P19N324","","Light","Light_Control",45,5,"Fledged",9,"Light_Light_Control",0.783036303630363,0.411764705882353,17
"46",272107290,"2019","TRES","Ithaca","Turkey_Hill","97","Turkey_Hill_97_2019","P19N449",0.6,0.999300101096508,10,750,278172488,"Nestling","Unknown","22-Jun-19",NA,"12",16,22,35,3,"Died","","Light","Light_Control",45,5,"Fledged",9,"Light_Light_Control",12859,3,522,"Adult","F","17-Jun-19","3","ASY",18.5,NA,117,NA,"","P19N324","","Light","Light_Control",45,5,"Fledged",9,"Light_Light_Control",0.783036303630363,0.411764705882353,17
"47",272107290,"2019","TRES","Ithaca","Turkey_Hill","97","Turkey_Hill_97_2019","L19N017c",0.4,0.98583049068486,10,970,NA,"Nestling",NA,"17-Jun-19",NA,"6",NA,NA,NA,NA,NA,NA,"Light","Light_Control",45,5,"Fledged",9,"Light_Light_Control",3811,5,522,"Adult","F","17-Jun-19","3","ASY",18.5,NA,117,NA,"","P19N324","","Light","Light_Control",45,5,"Fledged",9,"Light_Light_Control",0.783036303630363,0.411764705882353,17
"48",272107290,"2019","TRES","Ithaca","Turkey_Hill","97","Turkey_Hill_97_2019","L19N017b",0.454545454545455,0.992026897214217,11,969,NA,"Nestling",NA,"17-Jun-19",NA,"6",NA,NA,NA,NA,NA,NA,"Light","Light_Control",45,5,"Fledged",9,"Light_Light_Control",10410,5,522,"Adult","F","17-Jun-19","3","ASY",18.5,NA,117,NA,"","P19N324","","Light","Light_Control",45,5,"Fledged",9,"Light_Light_Control",0.783036303630363,0.411764705882353,17
"49",272107290,"2019","TRES","Ithaca","Turkey_Hill","97","Turkey_Hill_97_2019","P19N448",0.384615384615385,0.773021001615509,13,749,278172487,"Nestling","Unknown","22-Jun-19",NA,"12",17,24.1,40,3,"Fledged","","Light","Light_Control",45,5,"Fledged",9,"Light_Light_Control",1238,3,522,"Adult","F","17-Jun-19","3","ASY",18.5,NA,117,NA,"","P19N324","","Light","Light_Control",45,5,"Fledged",9,"Light_Light_Control",0.783036303630363,0.411764705882353,17
"50",272107361,"2019","TRES","Ithaca","Unit_2","31","Unit_2_31_2019","P19N471",0.333333333333333,0.711007798440312,27,833,281128438,"Nestling","Unknown","25-Jun-19",NA,"15",18.75,NA,NA,4,"Fledged","","Color_Stress","Cont_Dul",36,4,"Fledged",9,"Color_Stress_Cont_Dul",73348,4,523,"Adult","F","17-Jun-19","3","SY",17,28.3,109,NA,"","P19N317","","Color_Stress","Cont_Dul",36,4,"Fledged",9,"Color_Stress_Cont_Dul",0.993630573248408,0.6,5
