"","Individual_Band","Exp_Year","Adult_or_Nestling","Sex","Capture_Date","Species","Location","Site","Nest","Capture_Number","Age","Mass","Bill.Head","Flat_Wing","Current_Brood_Size","Nestling_Fate","sampleID","Notes","site_box_year","Nest_Experiment","Nest_Treatment","Day6_Brood_Mass","Brood_Size_Day6","Nest_Fate","avg_day6_mass","exp_treat"
"39","272106655","2019","Adult","F","27-May-19","TRES","Ithaca","Turkey_Hill","3","1","ASY",22,31.5,123,NA,"","P19N026","egg photo","Turkey_Hill_3_2019","Light","Light",65.25,5,"Fledged",13.05,"Light_Light"
"40","278172100","2019","Adult","F","27-May-19","TRES","Ithaca","Unit_1","437","1","SY",23.5,28.6,113,NA,"","P19N030","","Unit_1_437_2019","","Control",NA,NA,"Fledged",NA,"Control"
"41","278172401","2019","Adult","F","27-May-19","TRES","Ithaca","Turkey_Hill","106","1","ASY",23,27.4,115,NA,"","P19N027","egg photo, wing photo","Turkey_Hill_106_2019","Light","Light",48.91,5,"Fledged",9.782,"Light_Light"
"42","281128403","2019","Adult","F","27-May-19","TRES","Ithaca","Unit_2","94","1","SY",22,28.4,112,NA,"","P19N028","","Unit_2_94_2019","Color_Stress","Pred_Con",73,6,"Died",12.1666666666667,"Color_Stress_Pred_Con"
"43","88004754","2019","Adult","F","28-May-19","TRES","Ithaca","Unit_2","29","1","ASY",23.5,28.1,120,NA,"","P19N037","","Unit_2_29_2019","Color_Stress","Pred_Dul",36,3,"Fledged",12,"Color_Stress_Pred_Dul"
"44","263113947","2019","Adult","M","28-May-19","TRES","Ithaca","Unit_1","433","1","AHY",19.75,28,121,NA,"","P19N045","","Unit_1_433_2019","","Control",NA,NA,"Fledged",NA,"Control"
"45","272106822","2019","Adult","F","28-May-19","TRES","Ithaca","Unit_2","68","2","ASY",21,NA,NA,NA,"","P19N039","","Unit_2_68_2019","Color_Stress","Cont_Dul",71,6,"Fledged",11.8333333333333,"Color_Stress_Cont_Dul"
"46","272107599","2019","Adult","F","28-May-19","TRES","Ithaca","Unit_4","80","1","ASY",25,27.4,121,NA,"","P19N040","Ibutton, egg photo","Unit_4_80_2019","Light","Light",72.86,6,"Fledged",12.1433333333333,"Light_Light"
"47","272107698","2019","Adult","F","28-May-19","TRES","Ithaca","Unit_2","122","1","ASY",22,28.5,118,NA,"","P19N034","","Unit_2_122_2019","Color_Stress","Pred_Con",64,5,"Died",12.8,"Color_Stress_Pred_Con"
"48","278171869","2019","Adult","F","28-May-19","TRES","Ithaca","Unit_2","8","1","SY",22,29.2,109,NA,"","P19N036","","Unit_2_8_2019","Color_Stress","Pred_Dul",NA,NA,"Abandoned",NA,"Color_Stress_Pred_Dul"
"49","278171870","2019","Adult","F","28-May-19","TRES","Ithaca","Unit_2","12","1","SY",22,28.4,115,NA,"","","","Unit_2_12_2019","Color_Stress","Pred_Dul",59,5,"Died",11.8,"Color_Stress_Pred_Dul"
"50","278172147","2019","Adult","F","28-May-19","TRES","Ithaca","Unit_2","101","2","ASY",21.5,NA,NA,NA,"","P19N038","","Unit_2_101_2019","Color_Stress","Pred_Dul",52,5,"Fledged",10.4,"Color_Stress_Pred_Dul"
"51","278172224","2019","Adult","F","28-May-19","TRES","Ithaca","Unit_1","47","1","SY",21.75,28.3,112,NA,"","P19N042","","Unit_1_47_2019","Color_Stress","Cont_Con",66,5,"Died",13.2,"Color_Stress_Cont_Con"
"52","278172225","2019","Adult","F","28-May-19","TRES","Ithaca","Unit_1","433","1","ASY",24,29.3,113,NA,"","P19N044","","Unit_1_433_2019","","Control",NA,NA,"Fledged",NA,"Control"
"53","278172226","2019","Adult","M","28-May-19","TRES","Ithaca","Unit_1","315","1","AHY",21.75,29.1,123,NA,"","P19N043","Before incubation or during incubation 
accidentally captured male instead of female","Unit_1_315_2019","","Control",NA,NA,"Fledged",NA,"Control"
"54","278172227","2019","Adult","F","28-May-19","TRES","Ithaca","Unit_1","345","1","ASY",22.5,28.5,116,NA,"","","","Unit_1_345_2019","","Control",NA,NA,"Fledged",NA,"Control"
"55","278172402","2019","Adult","F","28-May-19","TRES","Ithaca","Unit_4","78","1","ASY",26,28.2,121,NA,"","","Ibutton was not collected, egg photo","Unit_4_78_2019","Light","Light_Control",54.39,5,"Fledged",10.878,"Light_Light_Control"
"56","281128404","2019","Adult","F","28-May-19","TRES","Ithaca","Unit_2","48","1","SY",23,28.4,120,NA,"","P19N035","","Unit_2_48_2019","Color_Stress","Cont_Con",NA,NA,"Abandoned",NA,"Color_Stress_Cont_Con"
"57","281128701","2019","Adult","F","28-May-19","TRES","Ithaca","Unit_1","105","1","SY",22.5,28.8,114,NA,"","P19N041","","Unit_1_105_2019","Color_Stress","Pred_Dul",65,5,"Fledged",13,"Color_Stress_Pred_Dul"
"58","212110281","2019","Adult","F","29-May-19","TRES","Ithaca","Unit_1","315","1","ASY",22.5,28.9,115,NA,"","P19N054","","Unit_1_315_2019","","Control",NA,NA,"Fledged",NA,"Control"
"59","212110294","2019","Adult","F","29-May-19","TRES","Ithaca","Unit_1","90","1","ASY",21.5,27.7,114,NA,"","P19N049","","Unit_1_90_2019","Color_Stress","Pred_Con",52,5,"Died",10.4,"Color_Stress_Pred_Con"
"60","272106711","2019","Adult","F","29-May-19","TRES","Ithaca","Unit_1","427","1","ASY",21.5,28.4,112,NA,"","P19N053","","Unit_1_427_2019","","Control",NA,NA,"Died",NA,"Control"
"61","272107284","2019","Adult","F","29-May-19","TRES","Ithaca","Unit_2","19","2","SY",20,NA,NA,NA,"","P19N051","","Unit_2_19_2019","Color_Stress","Pred_Con",NA,NA,"Died",NA,"Color_Stress_Pred_Con"
"62","272107748","2019","Adult","F","29-May-19","TRES","Ithaca","Unit_2","39","2","ASY",21.5,NA,NA,NA,"","","","Unit_2_39_2019","Color_Stress","Cont_Con",66,5,"Fledged",13.2,"Color_Stress_Cont_Con"
"63","272107750","2019","Adult","F","29-May-19","TRES","Ithaca","Unit_1","365","1","ASY",21.25,28.1,115,NA,"","P19N055","","Unit_1_365_2019","","Control",NA,NA,"Fledged",NA,"Control"
"64","272107809","2019","Adult","F","29-May-19","TRES","Ithaca","Unit_1","81","1","ASY",22,27.5,117,NA,"","","","Unit_1_81_2019","Color_Stress","Cont_Con",60,5,"Fledged",12,"Color_Stress_Cont_Con"
"65","272107817","2019","Adult","M","29-May-19","TRES","Ithaca","Unit_2","39","1","AHY",21,28.6,122,NA,"","","","Unit_2_39_2019","Color_Stress","Cont_Con",66,5,"Fledged",13.2,"Color_Stress_Cont_Con"
"66","278171871","2019","Adult","F","29-May-19","TRES","Ithaca","Unit_2","1","1","SY",23,28.6,114,NA,"","","","Unit_2_1_2019","Color_Stress","Cont_Dul",62,6,"Died",10.3333333333333,"Color_Stress_Cont_Dul"
"67","278172149","2019","Adult","F","29-May-19","TRES","Ithaca","Unit_2","109","2","SY",19.5,NA,NA,NA,"","","","Unit_2_109_2019","Color_Stress","Cont_Dul",61,5,"Fledged",12.2,"Color_Stress_Cont_Dul"
"68","278172150","2019","Adult","F","29-May-19","TRES","Ithaca","Unit_2","80","2","SY",20,NA,NA,NA,"","P19N050","","Unit_2_80_2019","Color_Stress","Cont_Dul",70,6,"Fledged",11.6666666666667,"Color_Stress_Cont_Dul"
"69","278172151","2019","Adult","F","29-May-19","TRES","Ithaca","Unit_2","32","1","SY",21.2,28.7,118,NA,"","P19N048","","Unit_2_32_2019","Color_Stress","Cont_Dul",68,5,"Died",13.6,"Color_Stress_Cont_Dul"
"70","278172152","2019","Adult","F","29-May-19","TRES","Ithaca","Unit_2","41","1","SY",22.75,28.6,116,NA,"","","","Unit_2_41_2019","Color_Stress","Cont_Con",51,4,"Fledged",12.75,"Color_Stress_Cont_Con"
