"","sampleID","Individual_Band","Age","Site","Nest","TotalReads"
"H05xP19N392","P19N392","278172325","12","Turkey_Hill","86",42895
"H05xP19N418","P19N418","281128763","12","Unit_2","57",17194
"H05xP19N485","P19N485","278172294","12","Unit_2","14",8649
"H06xP19N105","P19N105","272107361","SY","Unit_2","31",25382
"H06xP19N230","P19N230","278172262","12","Unit_1","421",28942
"H06xP19N247","P19N247","278171889","12","Unit_2","109",2471
"H06xP19N335","P19N335","281128503","12","Unit_2","41",5788
"H06xP19N400","P19N400","278172471","12","Unit_4","71",40995
"H07xP19N113","P19N113","278171872","SY","Unit_2","3",11482
"H07xP19N237","P19N237","281128721","15","Unit_2","103",54968
"H07xP19N346","P19N346","281128743","15","Unit_1","105",26895
"H07xP19N436","P19N436","278172484","12","Unit_4","95",39973
"H07xP19N519","P19N519","281128789","12","Unit_1","19",109190
"H08xP19N021","P19N021","272106697","ASY","Turkey_Hill","11",31758
"H08xP19N245","P19N245","278172274","12","Unit_2","101",25784
"H08xP19N248","P19N248","281128737","12","Unit_2","39",483
"H08xP19N371","P19N371","281128805","15","Unit_1","81",29
"H09xP19N079","P19N079","278172405","SY","Turkey_Hill","134",12442
"H09xP19N125","P19N125","88004570","ASY","Unit_2","121",51664
"H09xP19N385","P19N385","281128810","15","Unit_2","75",25418
"H09xP19N459","P19N459","281128764","15","Unit_2","57",2300
"H10xL19N006d","L19N006d",NA,"6","Turkey_Hill","3",6855
"H10xP19N028","P19N028","281128403","SY","Unit_2","94",8105
"H10xP19N032","P19N032","232146942","ASY","Unit_1","423",6110
"H10xP19N124","P19N124","278172412","SY","Unit_4","61",46126
"H10xP19N313","P19N313","281128602","ASY","Unit_2","85",9623
"H10xP19N426","P19N426","281128678","12","Unit_1","58",32764
"H11xL19N008c","L19N008c",NA,"6","Turkey_Hill","121",203
"H11xP19N253","P19N253","281128735","12","Unit_2","20",24876
"H11xP19N320","P19N320","281128704","SY","Unit_1","58",34431
"H11xP19N439","P19N439","281128440","12","Unit_2","54",72
"H12xP19N044","P19N044","278172225","ASY","Unit_1","433",34
"H12xP19N118","P19N118","263113771","AHY","Unit_1","349",10871
"H12xP19N122","P19N122","272107855","SY","Unit_2","62",8810
"H12xP19N267","P19N267","235120680","ASY","Unit_4","93",44051
"H12xP19N293","P19N293","278172313","12","Unit_4","94",13358
"H12xP19N370","P19N370","281128603","SY","Unit_2","72",54975
"H1xP19N138","P19N138","272106913","ASY","Unit_2","120",4037
"H1xP19N407","P19N407","272107816","AHY","Unit_2","14",73461
"H2xP19N145","P19N145","281128704","SY","Unit_1","58",2028
"H3xP19N153","P19N153","278172233","SY","Unit_1","86",558
"H4xP19N162","P19N162","281128605","AHY","Unit_2","94",5582
"H5xP19N179","P19N179","278172224","SY","Unit_1","47",54282
"H6xP19N195","P19N195","278171871","ASY","Unit_2","1",72804
"H7xP19N208","P19N208","272107815","AHY","Unit_2","3",71157
"H8xP19N218","P19N218","272107634","AHY","Unit_1","90",69409
"H9xP19N266","P19N266","281128405","SY","Unit_2","119",133723
